,,,
,24 Jul,7:40,
,Total,41:00:00,3:30:00
,,,
31,27 Jul,8:50,
,28 Jul,7:45,
,29 Jul,8:00,
,30 Jul,9:30,
,31 Jul,6:50,
,Total,40:55:00,3:25:00
,,,
32,3 Aug,6:00,
,4 Aug,7:00,
,5 Aug,9:30,
,6 Aug,9:15,
,7 Aug,7:55,
,Total,39:40:00,2:10:00
,,,
33,10 Aug,7:30,Fri
,11 Aug,7:30,Fri
,12 Aug,7:30,Fri
,13 Aug,7:30,Fri
,14 Aug,7:30,Fri
,Total,37:30:00,0:00:00
,,,
34,17 Aug,7:50,
,18 Aug,9:15,
,19 Aug,8:40,
,20 Aug,8:30,
,21 Aug,7:50,
,Total,42:05:00,4:35:00
,,,
35,24 Aug,8:20,
,25 Aug,9:30,
,26 Aug,8:45,
,27 Aug,7:30,Fri
,28 Aug,7:30,Fri
,Total,41:35:00,4:05:00
,,,
36,31 Aug,7:30,Fri
,1 Sep,4:00,
,2 Sep,7:30,
,3 Sep,7:30,
,4 Sep,7:30,
,Total,34:00:00,-3:30:00
,,,
37,7 Sep,8:50,
,8 Sep,7:30,
,9 Sep,9:00,
,10 Sep,7:15,
,11 Sep,8:50,
,Total,41:25:00,3:55:00
,,,
38,14 Sep,7:55,
,15 Sep,7:10,
,16 Sep,8:15,
,17 Sep,8:20,
,18 Sep,7:50,
,Total,39:30:00,2:00:00
,,,
39,21 Sep,9:20,
,22 Sep,10:00,
,23 Sep,7:05,
,24 Sep,10:25,
,25 Sep,8:30,
,Total,45:20:00,7:50:00
,,,
40,28 Sep,7:30,
,29 Sep,7:30,
,30 Sep,7:40,
,1 Oct,8:10,
,2 Oct,7:45,
,Total,38:35:00,1:05:00
,,,
41,5 Oct,7:35,
,6 Oct,8:00,
,7 Oct,7:30,
,8 Oct,6:00,
,9 Oct,7:50,
,Total,36:55:00,-0:35:00
,,,
42,12 Oct,9:20,
,13 Oct,7:20,
,14 Oct,8:10,
,15 Oct,7:20,
,16 Oct,8:00,
,Total,40:10:00,2:40:00
,,,
43,19 Oct,9:15,
,20 Oct,8:50,
,21 Oct,8:35,
,22 Oct,4:00,
,23 Oct,0:00,
,Total,30:40:00,-6:50:00
,,,
44,26 Oct,7:45,
,27 Oct,8:10,
,28 Oct,7:45,
,29 Oct,4:00,
,30 Oct,8:30,
,Total,36:10:00,-1:20:00
,,,
45,2 Nov,7:20,
,3 Nov,5:20,
,4 Nov,7:15,
,5 Nov,5:20,
,6 Nov,9:10,
,Total,34:25:00,-3:05:00
,,,
46,9 Nov,8:45,
,10 Nov,7:30,
,11 Nov,7:40,
,12 Nov,7:30,
,13 Nov,6:35,
,Total,38:00:00,0:30:00
,,,
47,16 Nov,0:00,
,17 Nov,7:30,
,18 Nov,7:30,
,19 Nov,7:30,
,20 Nov,8:45,
,Total,31:15:00,-6:15:00
,,,
48,23 Nov,8:15,
,24 Nov,7:00,
,25 Nov,8:00,
,26 Nov,9:00,
,27 Nov,7:45,
,Total,40:00:00,2:30:00
,,,
49,30 Nov,7:30,syg
,1 Dec,7:30,syg
,2 Dec,7:30,syg
,3 Dec,7:00,
,4 Dec,7:30,
,Total,37:00:00,-0:30:00
,,,
50,7 Dec,10:20,
,8 Dec,8:00,
,9 Dec,8:30,
,10 Dec,5:00,
,11 Dec,7:20,
,Total,39:10:00,1:40:00
,,,
51,14 Dec,7:00,
,15 Dec,7:30,
,16 Dec,9:30,
,17 Dec,8:00,
,18 Dec,11:00,
,Total,43:00:00,5:30:00
,,,
52,21 Dec,9:00,
,22 Dec,9:30,
,23 Dec,0:00,
,24 Dec,7:30,
,25 Dec,7:30,
,Total,33:30:00,-4:00:00
,,,
53,28 Dec,0:00,
,29 Dec,0:00,
,30 Dec,0:00,
,31 Dec,7:30,
,1 Jan,7:30,
,Total,15:00:00,-22:30:00
,,,
1,4 Jan,7:30,Fri
,5 Jan,7:30,Fri
,6 Jan,7:30,Fri
,7 Jan,7:30,Fri
,8 Jan,7:30,Fri
,Total,37:30:00,0:00:00
,,,
2,11 Jan,10:00,
,12 Jan,7:45,
,13 Jan,7:50,
,14 Jan,6:10,
,15 Jan,8:00,
,Total,39:45:00,2:15:00
,,,
3,18 Jan,10:00,
,19 Jan,7:15,
,20 Jan,7:40,
,21 Jan,8:30,
,22 Jan,6:15,
,Total,39:40:00,2:10:00
,,,
4,25 Jan,9:20,
,26 Jan,8:25,
,27 Jan,8:05,
,28 Jan,4:35,
,29 Jan,7:05,
,Total,37:30:00,0:00:00
,,,
5,1 Feb,9:00,
,2 Feb,8:40,
,3 Feb,9:20,
,4 Feb,9:10,
,5 Feb,6:00,
,Total,42:10:00,4:40:00
,,,
6,8 Feb,0:00,
,9 Feb,7:05,
,10 Feb,7:25,
,11 Feb,9:20,
,12 Feb,7:20,
,Total,31:10:00,-6:20:00
,,,
7,15 Feb,8:30,
,16 Feb,7:40,
,17 Feb,7:50,
,18 Feb,7:30,Fri
,19 Feb,7:30,Fri
,Total,39:00:00,1:30:00
,,,
8,22 Feb,8:25,
,23 Feb,5:00,
,24 Feb,9:40,
,25 Feb,9:00,
,26 Feb,10:00,Weekend arb
,Total,42:05:00,4:35:00
,,,
9,29 Feb,7:15,
,1 Mar,8:00,
,2 Mar,8:33,
,3 Mar,7:30,
,4 Mar,8:15,
,Total,39:33:00,2:03:00
,,,
10,7 Mar,8:15,
,8 Mar,6:50,
,9 Mar,8:10,
,10 Mar,5:30,
,11 Mar,8:00,
,Total,36:45:00,-0:45:00
,,,
11,14 Mar,7:40,
,15 Mar,8:30,
,16 Mar,6:25,
,17 Mar,7:50,
,18 Mar,8:15,
,Total,38:40:00,1:10:00
,,,
12,21 Mar,9:00,
,22 Mar,7:35,
,23 Mar,5:30,
,24 Mar,7:30,
,25 Mar,7:30,
,Total,37:05:00,-0:25:00
,,,
13,28 Mar,7:30,
,29 Mar,7:00,
,30 Mar,8:30,
,31 Mar,8:00,
,1 Apr,8:30,
,Total,39:30:00,2:00:00
,,,
14,4 Apr,8:00,
,5 Apr,7:50,
,6 Apr,8:10,
,7 Apr,4:20,
,8 Apr,8:45,
,Total,37:05:00,-0:25:00
,,,
15,11 Apr,7:30,
,12 Apr,7:30,
,13 Apr,7:30,
,14 Apr,7:30,
,15 Apr,7:30,
,Total,37:30:00,0:00:00
,,,
16,18 Apr,7:30,
,19 Apr,7:30,
,20 Apr,7:30,
,21 Apr,7:30,
,22 Apr,7:30,
,Total,37:30:00,0:00:00
,,,
17,25 Apr,7:30,Syg
,26 Apr,9:40,
,27 Apr,5:30,
,28 Apr,9:50,
,29 Apr,7:50,
,Total,40:20:00,2:50:00
,,,
18,2 May,9:30,
,3 May,9:20,
,4 May,10:20,
,5 May,7:30,
,6 May,0:00,
,Total,36:40:00,-0:50:00
,,,
19,9 May,7:30,Fri
,10 May,7:30,Fri
,11 May,7:30,Fri
,12 May,7:30,Fri
,13 May,7:30,Fri
,Total,37:30:00,0:00:00
,,,
20,16 May,7:30,
,17 May,7:30,Syg
,18 May,7:30,Syg
,19 May,6:35,
,20 May,7:45,
,Total,36:50:00,-0:40:00
,,,
21,23 May,9:05,
,24 May,8:50,
,25 May,8:40,
,26 May,8:30,
,27 May,5:05,
,Total,40:10:00,2:40:00
,,,
22,30 May,7:00,
,31 May,8:15,
,1 Jun,9:05,
,2 Jun,9:05,
,3 Jun,3:50,
,Total,37:15:00,-0:15:00
,,,
23,6 Jun,7:30,
,7 Jun,5:00,
,8 Jun,9:15,
,9 Jun,8:15,
,10 Jun,6:50,
,Total,36:50:00,-0:40:00
,,,
24,13 Jun,7:35,
,14 Jun,7:30,
,15 Jun,8:45,
,16 Jun,7:00,
,17 Jun,8:45,
,Total,39:35:00,2:05:00
,,,
25,20 Jun,7:30,
,21 Jun,7:30,
,22 Jun,7:30,
,23 Jun,8:25,
,24 Jun,6:40,
,Total,37:35:00,0:05:00
,,,
26,27 Jun,7:30,Fri
,28 Jun,7:30,Fri
,29 Jun,7:30,Fri
,30 Jun,7:30,Fri
,1 Jul,7:30,Fri
,Total,37:30:00,0:00:00
,,,
27,4 Jul,7:30,Fri
,5 Jul,7:30,Fri
,6 Jul,7:30,Fri
,7 Jul,7:30,Fri
,8 Jul,7:30,Fri
,Total,37:30:00,0:00:00
,,,
28,11 Jul,6:45,
,12 Jul,8:10,
,13 Jul,8:05,
,14 Jul,8:00,
,15 Jul,9:15,
,Total,40:15:00,2:45:00
,,,
29,18 Jul,7:30,
,19 Jul,8:10,
,20 Jul,7:50,
,21 Jul,8:00,
,22 Jul,6:30,
,Total,38:00:00,0:30:00
,,,
30,25 Jul,9:10,
,26 Jul,7:30,
,27 Jul,7:30,
,28 Jul,6:00,
,29 Jul,7:50,
,Total,38:00:00,0:30:00
,,,
31,1 Aug,8:40,
,2 Aug,8:15,
,3 Aug,5:40,
,4 Aug,7:45,
,5 Aug,7:50,
,Total,38:10:00,0:40:00
,,,
32,8 Aug,8:50,
,9 Aug,7:15,
,10 Aug,7:30,
,11 Aug,7:30,Syg
,12 Aug,7:15,
,Total,38:20:00,0:50:00
,,,
33,15 Aug,7:45,
,16 Aug,9:10,
,17 Aug,7:30,
,18 Aug,8:10,
